word,occurences
a canteen,3
fort sumter,21
hilary duff,9
megan,1
uncle sam,10
puerto rico,47
19th,2
sherman,12
ryan cabrera,1
dora,1
drooling,1
1960,5
14,21
barcelona,28
hockey,26
sound,8
mary shelley,22
circuit city,3
purple,23
istanbul,27
michelle kwan,13
a sequoia,4
edgar allan poe,80
skechers,5
crater,4
saigon,6
moguls,2
strain,2
harper lee,10
urban outfitters,3
a pseudonym,4
bonn,11
the bobsled,2
noble gases,4
daniel defoe,21
borders,3
belize city,1
bode miller,3
the caudal region,1
samuel taylor coleridge,23
aéropostale,1
a syllabus,2
the hms beagle,3
gwyneth paltrow,16
jay leno,20
texas,153
a pride,1
a bunny hill,1
southwest,7
meet the press,8
finding nemo,12
ohio,75
pods,4
powder,8
a goose,10
linux,4
harrison ford,21
illinois,67
rhinoceroses,2
mammoth,8
i dont know,5
north carolina,68
ron burgundy,2
michigan,90
a slalom,1
now,2
paypal,4
battlestar galactica,13
louisiana,101
crows,3
eighth,3
louisa may alcott,29
coldplay,8
the umbillical cord,1
radical,4
the 1990s,4
devious,2
washington irving,32
green day,8
muscles,13
reflexive,2
the 1940s,12
manhattan,45
john cheever,8
metallica,11
the tibia fibula,1
a matrix,3
the 1950s,9
north,6
truman capote,25
foo fighters,2
your neck,1
1,46
the 1980s,7
a polygraph,2
philip roth,20
the rolling stones,32
the cerebellum,4
volume,5
the 1910s,3
cochlear,1
henry viii,86
gold,74
sugar,27
wax,16
lois clark,3
utah,67
whole hole,1
colorado,91
the sun,50
teeth,39
nightmare on elm street,6
for four,1
lewis clark,25
a pedometer,3
electra,8
hart to hart,2
new york city,62
per purr,2
fur trading,1
the lungs,13
titans,2
hercules kevin sorbo,1
gored gourd,1
john c frémont,2
the nile river,2
castor,2
melrose place,8
stayed staid,1
adolf hitler,24
isthmus of panama,2
vincent van gogh,40
hr block,7
athens,71
carl sandburg,22
lyndon johnson,43
the tropic of capricorn,3
jackson pollock,28
ibm,27
denmark,109
alfred lord tennyson,25
gorilla,6
the river jordan,5
georges seurat,14
charles lindbergh,45
japan,196
robert burns,28
fala,4
kalahari desert,2
auguste rodin,30
procter gamble,11
nigeria,38
emily dickinson,43
bucephalus,2
myanmar burma,4
henry moore,14
krupp,3
syngman rhee,3
robert frost,48
the time machine,21
pliers,3
jerry lewis,13
pinata,3
gingrich,2
grand,4
frontwheel drive,1
mir,20
general hospital,13
pull,1
art garfunkel,6
bread,31
winnebago,4
a glove,2
cbs,12
whackamole,1
allen ginsberg,18
a clam,8
mae west,21
discovery,13
the pro bowling tour,1
punching bags,1
a fin,3
gene roddenberry,5
hallmark hall of fame,2
soft,2
frank gehry,7
the benjamins,1
a streetcar named desire,26
the exorcist,19
melbourne,15
blagojevich,2
hypertension,4
a handstand,1
our town,16
die hard,12
manila,19
george ryan,1
novocaine,3
an inchworm,3
beverly hills cop,4
milan,27
manager,2
henry heimlich,2
a bootstrap,1
mumbai,4
charlie rangel,1
atrial fibrillation,1
anthracite,7
major barbara,7
the hudsucker proxy,4
medellin,3
huey long,18
neonatal,2
the mainspring,1
norway and sweden,2
hemingway,21
open close,1
california,180
atms,1
walt disney,15
bucharest,14
willa cather,29
the tour de france,6
alaska,161
ddt,5
ned flanders,6
crest,9
harriet beecher stowe,26
from soup to nuts,2
npr,4
mel blanc,6
a trestle,1
l frank baum,24
the nativity the crucifixion,1
minnesota,76
the cia,11
antonio banderas,8
presto,4
stephen vincent benet,8
takeoff landing or launch arrival,1
tnt,8
mike judge,4
orestes,2
ordinary people,6
the world cup,9
dramamine,4
a lei a lee,1
the boston massacre,13
grand hotel,7
acapulco,9
alcohol,12
a carriage,2
strep strip,1
cotton mather,6
rocky,22
guadalajara,5
prostate cancer,2
london,133
mild meld,1
the huguenots,9
on the waterfront,14
night of the iguana,5
cholesterol,17
the bus,1
tried treed,1
william bradford,7
a man for all seasons,13
cancun,1
miltown,1
mules,6
to fill to fell,1
the mousetrap,7
tommy,10
little bighorn,3
elephants,25
dj,3
prizes,1
charlie chaplin,24
oregon trail,12
the big top,3
howard stern,13
david duchovny,12
things with holes,2
richard nixon,107
cotton candy,4
k,12
jon bon jovi,4
things that make you cry,1
gf handel,8
devils tower,10
trapeze,1
casey kasem,6
john f kennedy jr,7
pins,1
australia,215
st augustine,22
calliope,5
alternative,2
tori amos,4
bowls,1
nevermore,6
eggs,40
hightops,1
a green light,3
oregon state university,1
but only god can make a tree,3
collage,5
john hancock,24
the high five,1
scratch,6
the university of florida,6
evangeline,13
photographs,3
common sense,9
high seascs,1
an icebreaker,2
the university of texas,1
1930s,3
peter paul rubens,22
brooklyn,24
high definition,2
the kickoff,1
geoffrey chaucer the canterbury tales,1
claude monet,29
the charles river,4
high mass,1
the ground floor or the ground level,1
jeopardy,8
tom clancy,22
pennsylvania,89
black hawk,9
china,216
ill be there,2
spam,17
john grisham,32
poor richards almanack,10
betty white,10
poland,95
the wallflowers,1
nachos,5
robert ludlum,12
the black box,2
pizarro,5
layla,2
crêpes,2
clive cussler,3
electricity,15
black hole,11
sudan,18
shakira,5
satay,6
steve martini,1
postmaster general,8
the white cliffs of dover,5
russojapanese war,1
scream,10
lamb,23
gaelic,6
john f kennedy,83
a dolphinfish,1
tj hooker,3
your shoes,1
an opera,6
mountains,7
a lunchbox,1
a molly,3
touched by an angel,9
thanksgiving,26
ropea,1
macbeth,82
communist sympathizer,2
a goby,1
talk soup,3
the wesleys,1
go bragh,1
presbyterian,1
old yeller,6
the coelacanth,2
the tick,2
ayatollah,5
copra,2
andrew,14
jann wenner,2
tarpon,2
thats incredible,1
rigveda,1
deepak chopra,7
the new world,2
kathleen turner,3
ireland,136
mci,3
a yam,2
alls well that ends well,8
lauren bacall,7
the lbj library,1
911,9
joseph smith,14
a zebra,16
the two gentlemen of verona,4
jane russell,3
yale,47
the war of the worlds,3
john deere,16
a yak,9
shirley jones,5
steinbeck,6
1900,6
the sherman antitrust act,4
xrays,12
a midsummer nights dream,50
jamie lee curtis,14
oxford university,2
alexander graham bell,44
horace greeley,16
xavier,5
the taming of the shrew,30
philadelphia,109
the canterbury tales,25
a lemon,5
paul simon,27
a thermometer,6
the village blacksmith,2
grenadine,5
walter cronkite,18
tina turner,19
a dialysis machine,2
old ironsides,5
the tagus,5
white wine,5
the akita,3
west virginia,40
syphilis,4
james whitcomb riley,6
angola,19
soda water,1
arthur fiedler,6
the osmonds,3
barney clark,2
aleksandr pushkin,4
the thar desert,1
a rob roy,2
lucy maud montgomery,4
dionne warwick,5
treason,8
greenland,47
babe ruth,43
the simpsons,37
cain,18
leisure,1
the amendments,1
the yukon territory,5
ty cobb,13
edwin hubble,8
wild bill hickok,16
noticeable,1
month,1
vancouver,30
reggie jackson,16
indira gandhi,35
exceed,1
santa monica,6
nova scotia,25
rickey henderson,8
the okefenokee,3
bugsy siegel,12
categorizing,1
decameron,1
ontario,38
ted williams,14
lt gen john lejeune,1
philip,10
accommodations,1
the fbis 10 most wanted list,1
mendel,6
a bassoon,1
blank,1
ts eliot,33
sarah jessica parker,14
a stepfather,1
asteroids,12
the flea,1
smirk,2
war and peace,32
tom hanks,21
dictionary,2
momentum,7
wood,17
hate,3
paradise lost,16
jennifer aniston,21
guillotine,10
a salt,1
clarinet,11
the joker,7
william butler yeats,25
jim carrey,20
toxicology,3
rhizomes,1
jews harp,3
a leer,1
james baldwin,10
steve carell,4
birthright,1
prince of wales,6
sahara,17
dr livingstone,9
tie,5
castle,7
february 29 for a leap year,1
junket,2
trade winds,4
dylan thomas,34
slip,5
van,2
december 7,2
jamboree,1
rainy season,1
marlon brando,17
pants,11
wigwams,1
february 14,3
jerusalem,70
stu sutcliffe,2
coat,2
haciendas,1
may 1,1
jane eyre,35
snowy,3
karl marx,23
socksbelts,1
yurt,2
july 1,2
justinian i,2
tennessee williams,44
king,21
annie oakley,30
sitcom,2
ho chi minh city formerly saigon,1
judy garland,26
august wilson,17
frankenstein created in 1818,1
george washington carver,32
southpaw,6
laos,19
judy jetson,3
jonathan larson,3
stepdaughter,1
howard hughes,35
shoestring catch,1
mekong,9
judy davis,1
peter anthony shaffer,1
robert taft,6
seattle,46
south china sea,2
judy holliday,3
alexander pushkin,7
poor little rich girl,1
scared straight,1
da nang,2
judy woodruff,1
jolly rancher,3
george iii,32
union station,2
all the presidents men,9
the denver broncos,6
louisville slugger,3
mr smith goes to washington,7
newt gingrich,14
the lionhearted,1
an iceberg,4
primary colors,9
bob dole,27
sam houston,14
the hoover dam,3
dave,3
rodney king,7
stephen douglas,22
lord nelsons column,1
the american president,4
the opening of the chunnel the channel tunnel,1
double,1
edward kennedy,3
viacom,3
tutu,5
russia,141
god bless america,5
deep throat,5
robert byrd,10
sony,18
swan lake,19
kenya,32
the rubber chicken circuit,2
john mccain,29
time warner,6
sleeping beauty,31
the nile,39
bill frist,6
general electric,16
spartacus,15
the philippines,73
patrick leahy,3
disney,21
margot fonteyn,9
scotland,101
the bureau of printing and engraving,1
the chief justice of the united states,2
taco,2
buck,8
volcanic eruptions,2
lurch,7
tripoli,13
tube steak,1
breaddough,1
black cats,2
batman,24
atlantic,8
turnip,3
why does the snake crawl on the ground,1
benson,2
kalahari,5
tangelo,3
doremi,1
truth or consequences hot springs,1
why does anna karenina kill herself,1
the nanny,5
atlas mountains,5
tillamook,1
chicken feed,2
oh calcutta,3
why does swiss cheese have holes,1
mr french,1
lizards,5
olivia newtonjohn,12
tudor,12
familiar,3
rhett butler,6
telescope,8
hungary,70
laura ingalls wilder,19
windsor,15
context,3
brett butler,3
owl,14
ralph waldo emerson,14
plantagenet,6
making quotations with your fingers,1
protist,1
joyce carol oates,8
stuart,8
on the record,1
samuel butler,6
chlorine,15
mary higgins clark,12
hanover,5
pull quote,1
butler university,1
twelfth night,26
dr martin luther king jr,12
1970s,3
civil war,24
tricolor,2
pollen,18
the red baron,12
don cornelius,1
vietnam war,9
karol wojtyla pope john paul ii,1
milkweed,2
red tape,1
albert einstein,48
elton john,38
world war i,60
lapland,4
hemlock,11
a red badge of courage,1
george wallace,21
afro sheen,2
world war ii,30
luxembourg,43
lace,19
red river valley,2
timothy leary,12
chicago,196
the revolutionary war,19
wort,3
the last of the red hot mamas,1
the fbi,7
gridiron,1
utah great salt lake,1
couple,1
nypd,1
italy mother cabrini,1
andy williams,2
maryland,59
crane,14
quantum,5
la law,8
saint patrick,6
hank williams sr,7
missouri st louis,1
capitalism,5
work,8
cpo sharkey,2
esther williams,9
georgia,119
chemical reactions,1
uncle united network command for law and enforcement,1
saint augustine,8
vanessa williams,14
tennessee,68
caligula,23
the african queen humphrey bogart katharine hepburn,1
soviet union china,1
tiger woods,46
three men in a tub,3
adolphus busch,2
juan peron,11
fourth,1
the salvation army,19
the masters,9
three of a kind,1
john myers,1
florida,140
joshua,21
hubert h humphrey,4
fairway,1
the big three,1
guy day,1
bullfighting,13
levites,2
unicef,8
bunker,3
three mile island,10
harold stratton,1
texas rangers now with the tigers,1
aaron,17
oldsmobile,5
st andrews,7
the threepenny opera,6
stefano gabbana,1
juan gabriel,1
hyundai,9
never give a sucker an even break,1
eskimos,3
atlanta,67
carroll oconnor,2
saab,3
buddha,42
never been kissed,2
penguins,16
brussels,31
abbie hoffman,7
maam,3
taekwondo,2
i never promised you a rose garden,1
arctic ocean,8
copenhagen,43
rosie roosevelt grier,1
balaam,4
kimchi,2
the neverending story,4
roald amundsen,9
paris orly,1
gale gordon,3
saarinen,3
pusan,2
never say never again tomorrow never dies,1
ernest shackleton,4
minneapolisst paul,1
mandy patinkin,4
vaal river,1
dr benjamin spock baby and child care,1
a toga,3
the rock,13
little,7
the zoo,2
garlic,25
bologna,10
sid vicious,4
governess,3
limburgh,1
vatican city,25
georgia frontiere,1
jane austen,43
jacqueline kennedy onassis,20
pepé le pew,4
missouri,71
romulus remus,8
tommy lee jones,10
henry james,30
cyd charisse,3
the muskrat,1
dh lawrence,28
hank aaron,27
middlemarch,4
the temple of dendur,1
polyester,7
virginia,108
charleston,21
birds nest soup,3
florida state university,3
episcopal,1
a map,5
endorphins,4
fondue,8
scrabble,25
sunni,7
the circle,1
an end user,1
the mathers,1
ceviche,5
oksana baiul,3
zoroastrianism,9
distance equals rate times time,1
ensenada,1
the sotweed factor,1
moussaka,4
althea gibson,7
shofar,2
constant,3
enewetak,1
zenger,2
carbonara,4
daley thompson,1
moroni,1
pierre de fermat,2
endymion,4
6 2 2 2,1
shoes,29
ivory,16
australian dollar,1
gloves,15
flea collar,1
crusades,7
dance,18
convictsprisoners,1
jai alai,10
40th anniversary,1
black death,4
wolf,30
platinum,15
canberra,19
hammer shotput,1
pull it out from under him,1
types of plays,1
alcoholic beverages,1
cameos,3
waltzing matilda,9
driver,1
peppermint patty,4
song of roland,1
megalomania,1
black,49
emu,9
balance beam,4
daisy hill puppy farm,2
anton chekhov,21
mandible,4
bittersweet,5
finian,2
hawaii,157
sean o casey,1
kidneys,25
thisbe,5
barnstormer,1
damn yankees,15
agatha christie,53
central nervous system,4
tristan,7
vichysoisse,1
funny girl,12
new hampshire,52
b traven,1
small intestine,4
adonis,7
quicksilver,4
wheres charley,1
lake minnetonka,1
rosemary rogers,1
carotid arteries,2
hero,7
numismatist,4
the king and i,22
captain john smith,1
telly savalas,5
hallmark card,1
parables,2
lightning,17
link,2
cancer,19
o henry,17
buick,8
burn,2
100,20
coma,7
libra,12
roberta flack,3
sprite,8
manna,10
waterspouts,1
heel,4
gemini,25
armand hammer,5
coppertone,8
jericho,18
summer,14
rake,4
franklin pierce,19
marianne,1
fisherprice,3
the ark of the covenant,11
inversion,1
plum,8
aquarius wh harrison lincoln mckinley fdr were the presidents who died in office,1
bird,27
captain blood,3
dr benjamin spock,9
spain,171
gum line,1
jamaica,45
ernest hemingway,66
voting,4
chateau,3
seals,10
lake baikal,18
douglas fairbanks sr,3
the picture of dorian gray,9
air force,5
nose,19
nobelium,2
blackbeard,16
aldous huxley,15
cia,3
decanting,1
serum,3
belize el salvador,2
paul henreid,1
dorothy parker,29
governor of massachusetts,1
nickelodeon,7
obedience class,1
ashlee simpson,6
work a slinky a slinky accepted,1
the nobel prizes,4
pepperoni,7
peter piper,3
fleas,10
eminem,18
make ice cream,1
the grammys,2
pineapple,18
a double date,1
plaque,9
its my life,1
shuck corn,1
war,21
tomatoes,7
tee time,1
epidermis,4
brandy,19
call the president of france,1
the indy 500,4
anchovies,13
the cardiovascular system,1
jojo,1
draw a circle,1
pulitzer,6
mushrooms,21
the great gatsby,36
martha washington,20
babe,24
i love you you love me,1
eden,5
betsy ross,18
tommy lee jones will smith,2
edison,24
suspicion,2
time,38
leap,4
sacagawea,13
charlies angels,23
rhodes,10
wool,11
pelican,6
daddy day care,3
samuel morse,28
veni vidi vici i came i saw i conquered,2
the violet,3
decoy,3
amelia earhart,46
big fish,3
louis pasteur,22
brutus,22
rabbie burns,8
clone,3
new york,122
bram stoker,11
united airlines,8
sherlock holmes,40
gabriel,18
switzerland,116
mumps,6
jack kerouac,13
a christmas carol,23
cape horn,11
labrador retriever,1
mumble,1
evelyn waugh,10
meow mix,3
noah,41
rhinoceros,23
elkhound,2
mumbojumbo,2
pearl s buck,15
apple computer,4
theodore roosevelt,89
french horn,4
the mexican hairless,1
james dickey,5
federal express,8
jack cassidy shirley jones,1
cornucopia,2
dingo,9
mummers,3
solomon,61
just shoot me,8
dalai lama,16
grand canyon,14
nebuchadnezzar,17
chrysler,22
dublin,59
strapping,1
paul,36
sex and the city,9
oklahoma,96
wells fargo,11
benjamin disraeli,14
ruthless,2
joseph,39
two guys and a girl,1
mobil,2
madame dubarry,1
clever,2
james,15
thurston howell iii,2
tci telecommunications inc,1
dew distant early warning line,1
sweet,5
jakarta indonesia,2
nuremberg,10
hot lips,5
pearl harbor,19
ford,44
rain,19
prologue,3
julius ethel rosenberg,3
suicide is painless,1
the emerald city,6
acura,2
bus stop,6
profanity,3
william jennings bryan,25
father mulcahy,2
crystal,6
dodge,12
prohibition,10
sacco vanzetti,10
iowa,42
diamonds,30
mazda,11
pine,15
proletariat,2
bruno hauptmann,3
lt col henry blake col sherman potter,1
ruby ridge,1
rollsroyce,18
protocol,7
king hussein,12
sports illustrated,20
joanhenge,1
jester,1
jacques chirac,17
tv guide,7
mike connors,4
phonehenge,1
diamond,28
hilarious,1
suharto,5
harvard lampoon,3
clonehenge,1
tickle us,1
steve forbes,6
ponehenge,1
john brown,42
laugh track,1
grand duke jean,1
louis godey,1
dronehenge,1
balmoral castle,4
bad gags,1
cape of good hope,4
brigham young,33
goodyear,21
a novel,1
berkeley,6
a furlong,4
trout,13
vassar,14
hooters,5
a poem,2
polo,23
a daddy longlegs,2
a catfish,2
pepperdine,2
shaquille oneal,19
an essay,3
a longneck,1
flounder,7
oral roberts university,4
norway,111
sagas,5
citigroup,2
a longshoreman,1
a herring,1
purdue,9
trimspa,1
short stories,1
san jose,20
medulla oblongata,4
a perch,2
the panama canal,30
nypd blue,14
esther best her,1
italy,160
a pedestal,2
leonardo da vinci,39
barney miller,12
job mojo by,1
canada,176
henny youngman,6
the erie canal,16
law order,18
ezra pez rarely,1
a soliloquy,3
the suez canal,17
cagney lacey,4
amos jam ostensibly,1
finland,45
senators,9
the coda,2
lake superior lake huron,1
mccloud,1
romans from answers,1
east timor,10
an american tragedy,6
a funicular,3
angelas ashes by frank mccourt,1
libraries,3
psycho,27
the youngest person,1
tooth,3
hell week,1
judi dench,9
watertight,1
a tattoo,1
james cook,10
the sputnik launch,1
barbra streisand,39
wales,50
lifejackets,2
a stoop,3
hannibal lecter,12
anchors,1
pontoons,1
napoleon,107
fleet week,1
red heat,1
the bridge,3
festoon,1
venezuela,48
john,38
legible,1
charles darwin,25
jon stewart,9
colonel sanders,8
gullible,1
galileo,75
kobe bryant,15
the eggs,2
the colorado,11
leo,28
niels bohr,17
bart simpson,4
a la king,1
el supremo,1
pius,4
indestructible,1
mendeleev,5
steven wright,5
chicken kiev,7
general antonio lopez de santa ana,1
gregory,4
the crucible,12
jean foucault,2
eddie izzard,4
chicken tetrazzini,2
the gettysburg address,14
dorrit,1
making a quilt,1
aretha franklin,18
beginning,2
anne hathaway,16
saxophone,8
carrie,15
the epiphany,1
marilyn manson,3
dinner jacket,1
db cooper,6
harmonica,10
barbara,3
chile,72
david lee roth,6
innards,2
king juan carlos,4
accordion,6
zarathustra,9
swahili,15
the spinnaker,1
tutankhamens tomb,1
mandolin,7
ivan denisovich,2
a chair rail,1
devo,7
innuendo,1
pancakes,10
llamas,4
the phoenix,7
the coast guard,9
jakarta,18
magic johnson,10
pot stickers,2
the roc,2
codeine,4
hanoi vietnam,2
spoon bread,1
rings,16
a satyr,2
a cote,1
yerevan,3
jerry west,2
kettle corn,1
ban kimoon,2
pegasus,18
coachella,1
ulan bator,5
james worthy,1
rotisserie chicken,1
medvedev,1
unicorn,7
a coterie,1
william howard taft,36
bleak house,9
alabama,58
attorney general,21
a point of view,1
great expectations,26
the nittany lions,1
the vietnam war,19
the new yorker,18
date of birth,3
oliver twist,32
the runnin rebels,1
brigadier general,2
vanity fair,12
latter day saints,1
david copperfield,40
the florida state seminoles,1
the secretarygeneral,2
the korean war,22
people,9
adjusted gross income,2
the mystery of edwin drood,12
the bulldogs,3
the surgeon general,3
the war of the roses,3
national geographic,16
the league of women voters,4
abraham,26
phil hartman,7
the godfather,28
an egg,6
children,10
babylon,29
phil silvers,4
edward albee,15
drank alcohol,1
concord,18
chattanooga,9
elijah,10
phil collins,18
taos new mexico,1
meditate,1
the missouri,17
chopsticks,12
corinth,7
philip seymour hoffman,3
millay,1
insulin,25
galveston bay,2
chicken scratches,1
the beatitudes,4
philip kaufman,1
mt mitchell,1
chock,1
bruces juices,1
norman schwarzkopf,10
ipod,4
kick,4
the,3
kutchers butchers,1
norman rockwell,27
wii,2
larry bird,20
she,3
new mexico,61
kims gyms,1
norman lear,6
youtube,8
hawks,4
i,15
rhode island,66
peets streets,1
norman vincent peale,9
be,5
matts bats,1
norman mailer,22
the pheasant,3
we can work it out,3
colin powell,24
silly string,2
tolkien,15
perch,4
silver,69
fantasia,16
george patton,11
second string,2
the winds of war,4
peregrine,3
a circuit,2
sergey eisenstein,1
doug macarthur,2
rock candy,3
perestroika,3
boron,7
tanzania,21
omar bradley,5
gut,1
percy shelley,21
persephone,7
a semiconductor,2
nosferatu,8
george mcclellan,11
the theory of everything,1
stopping by woods on a snowy evening,2
pericardium,1
an electrolyte,2
shubert,2
corsica,12
oahu,23
johnny,8
robinson crusoe,33
the lawnmower,1
a smart start,1
mt mckinley,6
scott,6
aspirin,10
a fatter batter,1
rio grande,6
drew,2
the grapes of wrath,32
autopilot,1
rodin,17
a rich witch,1
alabama and georgia,1
matthew,20
to kill a mockingbird,21
a fan,3
catherine the great,49
a crypt script,1
lake champlain,14
jennifer,2
1984,42
lcd or liquid crystal display,1
captain cook,17
devour flour,1
arms,10
identical,4
fraction,4
meringue,11
a tonsillectomy,2
life or liberty or property,1
basketball,46
recessive,2
chamber,2
tuna,26
wrinkles,3
1865,5
beach volleyball,3
a hexagram,2
ragout,1
the brain,26
poll,1
gymnastics,15
xx,2
lobster,14
the cornea,7
softball,9
alzheimers disease,4
a jackknife,1
crust,6
a blood clot,1
mount everest,38
barney,7
gaseous,1
madonna,75
an electrician,2
a fox,9
chestnuts,6
winds,6
6,52
snoop doggy dogg,4
the plumber,1
bo derek,5
shish kabob,1
things with tails,1
your tibia,1
heavy metal,3
a drywaller,1
a knockout,3
matzah,2
things that are over my head,1
pearl jam,7
a mason,2
babes,1
brains,5
astronomy or observatories,1
rene descartes,17
bruce springsteen,32
a grader,1
a bombshell,2
a consommé,1
john updike,22
augusta,18
elisabeth shue,5
mine,6
william,15
the accidental tourist,5
george herbert walker bush,16
lindsey crouse,1
mantis,1
zeus,32
rocking or swinging,1
blueberries,3
liz taylor,1
march,21
ares,13
a dense winter fog,1
the spirits,1
rachel carson,17
bette midler,22
hades,12
2 of robert de niro al pacino michael v gazzo lee strasberg,1
the confederacy of dunces,1
acadia,8
donna reed,3
musaka,1
hunting,4
azerbaijan,9
penguin,18
kit kat,4
sneeze,3
hercules,43
xmas,3
mms,18
sausages,4
beijing,39
ostrich,20
hersheys,11
angels,13
doug,1
xena,8
red sea,14
parrot,11
trident,6
east west germany,2
the magic school bus,1
xylophone,4
bald eagle,7
snickers,12
city hall,1
the powerpuff girls,2
xerox,19
latin,28
a pieman,1
washington dc,62
ludwig van beethoven,21
noahs ark,12
abraham lincoln,123
greek,36
roast beef,3
paul bunyan,17
adams apple,2
gettysburg,30
french,56
three blind mice,6
mount rushmore,22
the nutcracker,22
ulysses s grant,70
indonesia,78
dish spoon,2
boston tea party,11
the wolf,6
custers last stand,2
portuguese,22
pumpkin,14
yellowstone,25
wolfgang amadeus mozart,10
achilles heel,1
hamlet,98
charles m barnes,2
anchorage,15
moody blues,1
sunday,17
iago,25
bermuda,23
hay,4
puget sound,16
barry manilow,11
a bird,16
verona,7
benetton,3
maids,2
john mellencamp,1
spinach,32
york,17
proctor gamble,3
lambs,2
valparaiso,1
the tempest,41
kenmore,2
the mulberry bush,1
the outer banks,1
maroon 5,4
a mountain,2
rockefeller,11
steak tartare,4
churchill,29
beetle,12
the event,1
ninetynine,2
douglas mcarthur,1
corned beef,4
aircraft carriers,3
24,31
unintentional,1
the federalists,3
strip steak,1
mitsubishi,7
the kiwi,3
saturday night live,18
the annunciation,3
rutherford b hayes,21
filet mignon,8
the m1,2
arthropod,1
prison break,4
transcontinental,3
beef wellington,5
fat man,1
their genome,1
inconvenient,1
wrigley field,11
jenny jones,2
alexander hamilton,40
subway,19
scotts pots,1
burbank,2
groundhog day,11
blue jay,2
the blind,2
brams lambs,1
w2,4
pigeon,4
mickeys hickeys,1
the jazz singer,8
daniel webster,29
saint valentine,2
flamingo,9
rices vices,1
jack warner,2
folsom,1
peregrine falcon,3
howes sows23456,1
white belt,1
lake victoria,23
willie shoemaker,8
william and mary,12
faith hill,11
the wild bunch,6
cairo,49
bill russell,10
oxygen,50
omaha,25
zanzibar,14
billy the kid,27
neon,19
did i shave my legs for this,1
madagascar,50
dartmouth,17
methane,14
vince gill,4
madeira,7
bill moyers,9
quakers society of friends,7
nitrogen,29
its just a matter of time,1
death on the nile,6
santa maria,5
merlin,14
