word,occurences,,
ottawa,69,,
titanic,69,,
voltaire,69,,
9,69,,
frederick douglass,69,,
washington irving,69,,
horse,69,,
st augustine,69,,
tequila,69,,
daniel,69,,
toyota,68,,
jules verne,68,,
charles de gaulle,68,,
nitrogen,68,,
sugar,68,,
the ganges,68,,
bangkok,68,,
calcium,68,,
sinclair lewis,68,,
zachary taylor,68,,
death,68,,
sacramento,68,,
anna karenina,68,,
plato,68,,
mount rushmore,68,,
dante,68,,
san diego,67,,
halloween,67,,
boxing,67,,
pinocchio,67,,
zeus,67,,
one flew over the cuckoos nest,67,,
aida,67,,
tarzan,67,,
spiro agnew,67,,
jackson pollock,67,,
martin van buren,67,,
the godfather,67,,
the grand canyon,67,,
pt barnum,67,,
the simpsons,67,,
the bahamas,67,,
salem,67,,
george eliot,67,,
harriet beecher stowe,67,,
ibm,67,,
the crimean war,66,,
sylvia plath,66,,
william tell,66,,
anne boleyn,66,,
abraham,66,,
life,66,,
herman melville,66,,
babylon,66,,
william the conqueror,66,,
the merchant of venice,66,,
harriet tubman,66,,
charleston,66,,
the mayflower,66,,
purple,66,,
john marshall,65,,
the three musketeers,65,,
heart,65,,
albania,65,,
italian,65,,
handel,65,,
stanford,65,,
austin,65,,
guam,65,,
bats,65,,
goliath,65,,
budapest,65,,
the eiffel tower,65,,
light,65,,
the sphinx,65,,
anne rice,65,,
iago,65,,
atlantic city,64,,
halleys comet,64,,
dolly parton,64,,
frasier,64,,
april,64,,
al gore,64,,
medusa,64,,
lightning,64,,
alcatraz,64,,
ulysses,64,,
ecuador,64,,
macarthur,64,,
taft,64,,
sanskrit,64,,
sleeping beauty,64,,
tiger woods,64,,
money,64,,
orion,64,,
beatrix potter,64,,
dh lawrence,64,,
death valley,64,,
the dalai lama,64,,
al capone,64,,
daniel boone,64,,
15,63,,
shoes,63,,
douglas macarthur,63,,
georgetown,63,,
mobydick,63,,
william shakespeare,63,,
elizabeth taylor,63,,
apples,63,,
juliet,63,,
george hw bush,63,,
dna,63,,
garfield,63,,
24,63,,
smallpox,63,,
oysters,63,,
dolley madison,63,,
louis xvi,63,,
cancer,63,,
queen elizabeth ii,63,,
brussels,62,,
stonehenge,62,,
catch22,62,,
west side story,62,,
portland,62,,
victor hugo,62,,
the maltese falcon,62,,
mckinley,62,,
rasputin,62,,
shinto,62,,
abigail adams,62,,
baghdad,62,,
chocolate,62,,
friends,62,,
x,62,,
adam,62,,
anne frank,62,,
thanksgiving,62,,
thurgood marshall,62,,
the rio grande,62,,
milwaukee,62,,
gothic,62,,
montgomery,62,,
the wright brothers,62,,
the taming of the shrew,61,,
grapes,61,,
robert burns,61,,
richard wagner,61,,
seoul,61,,
johnny cash,61,,
butter,61,,
camelot,61,,
munich,61,,
the suez canal,61,,
mary todd lincoln,61,,
katharine hepburn,61,,
ben franklin,61,,
newfoundland,61,,
spinach,61,,
haile selassie,61,,
guatemala,61,,
the pope,61,,
the mediterranean,61,,
bees,61,,
seinfeld,61,,
princess diana,61,,
mary poppins,61,,
john jay,60,,
korea,60,,
lake michigan,60,,
nova scotia,60,,
charlie chaplin,60,,
beauty and the beast,60,,
benjamin harrison,60,,
leo,60,,
steve martin,60,,
vatican city,60,,
zimbabwe,60,,
north korea,60,,
spring,60,,
william randolph hearst,60,,
bourbon,60,,
king kong,60,,
hoover,60,,
costa rica,60,,
toni morrison,60,,
frankenstein,60,,
huckleberry finn,60,,
belize,60,,
uncle toms cabin,59,,
stephen hawking,59,,
margaret mitchell,59,,
grandma moses,59,,
paul gauguin,59,,
the english channel,59,,
russian,59,,
the empire state building,59,,
havana,59,,
lou gehrig,59,,
norman rockwell,59,,
garlic,59,,
gauguin,59,,
versailles,59,,
waterloo,59,,
the congo,59,,
wellington,59,,
the white house,59,,
star wars,58,,
wheat,58,,
c,58,,
oahu,58,,
to kill a mockingbird,58,,
18,58,,
geneva,58,,
oprah winfrey,58,,
copernicus,58,,
fiddler on the roof,58,,
john hancock,58,,
paul newman,58,,
bob hope,58,,
great expectations,58,,
cincinnati,58,,
mary shelley,58,,
athena,58,,
nirvana,58,,
whitney houston,58,,
truman capote,58,,
queen elizabeth i,58,,
odin,58,,
siberia,58,,
general motors,58,,
tanzania,58,,
earth,58,,
albany,58,,
tobacco,58,,
j edgar hoover,58,,
robin hood,58,,
lord of the flies,58,,
,58,,
paul simon,57,,
the caribbean,57,,
rosa parks,57,,
james buchanan,57,,
rodin,57,,
captain cook,57,,
pearls,57,,
lake victoria,57,,
vasco da gama,57,,
north america,57,,
hg wells,57,,
lafayette,57,,
march,57,,
brave new world,57,,
the little mermaid,57,,
volkswagen,57,,
new guinea,57,,
elephants,57,,
sir francis drake,57,,
psycho,57,,
100,57,,
st paul,57,,
sigmund freud,57,,
the tower of london,57,,
twelfth night,57,,
the seine,57,,
the league of nations,56,,
lima,56,,
insulin,56,,
the korean war,56,,
dan quayle,56,,
ukraine,56,,
toulouselautrec,56,,
charlotte,56,,
george wallace,56,,
bermuda,56,,
william mary,56,,
bill gates,56,,
portuguese,56,,
martha washington,56,,
san antonio,56,,
wayne gretzky,56,,
dickens,56,,
the canterbury tales,56,,
magellan,56,,
baton rouge,56,,
huey long,56,,
yosemite,56,,
daniel webster,56,,
carthage,56,,
pi,56,,
bowling,56,,
doctor zhivago,56,,
beowulf,56,,
labor day,55,,
cyrano de bergerac,55,,
santa fe,55,,
october,55,,
mary cassatt,55,,
40,55,,
dutch,55,,
ayn rand,55,,
thomas,55,,
microsoft,55,,
david bowie,55,,
pope,55,,
e,55,,
new delhi,55,,
apollo,55,,
the liberty bell,55,,
lake erie,55,,
homer,55,,
nicholas ii,55,,
tin,55,,
the sahara,55,,
aladdin,55,,
the bastille,55,,
polo,55,,
nancy reagan,55,,
fahrenheit 451,55,,
the erie canal,55,,
java,55,,
pride and prejudice,55,,
tom jones,55,,
alfred hitchcock,55,,
the columbia,55,,
war,54,,
winter,54,,
damascus,54,,
booker t washington,54,,
the king and i,54,,
the great salt lake,54,,
franklin d roosevelt,54,,
thoreau,54,,
animal farm,54,,
glass,54,,
quartz,54,,
ted turner,54,,
of mice and men,54,,
duke,54,,
charles i,54,,
the last supper,54,,
sherman,54,,
hank aaron,54,,
sandra day oconnor,54,,
hirohito,54,,
mushrooms,54,,
death of a salesman,54,,
joseph conrad,54,,
marble,54,,
barry goldwater,54,,
king tut,54,,
achilles,54,,
poseidon,54,,
karl marx,54,,
sparta,54,,
the eye,54,,
kuwait,54,,
vesuvius,54,,
the lion king,54,,
birmingham,54,,
the count of monte cristo,54,,
birds,54,,
jack the ripper,54,,
eve,54,,
brandy,54,,
william mckinley,53,,
the missouri,53,,
aquarius,53,,
a cat,53,,
the dominican republic,53,,
cain,53,,
the supreme court,53,,
hubert humphrey,53,,
tom clancy,53,,
alice,53,,
jesse james,53,,
carl sandburg,53,,
madame butterfly,53,,
cher,53,,
caligula,53,,
franklin roosevelt,53,,
friday,53,,
cabbage,53,,
passover,53,,
odysseus,53,,
bones,53,,
whos afraid of virginia woolf,53,,
faulkner,53,,
the potomac,53,,
spiderman,53,,
bethlehem,53,,
the color purple,53,,
mao tsetung,53,,
ruth,53,,
aphrodite,53,,
mount fuji,52,,
europe,52,,
earl warren,52,,
colin powell,52,,
indianapolis,52,,
the odd couple,52,,
charles darwin,52,,
the taj mahal,52,,
the dead sea,52,,
a lion,52,,
jimmy hoffa,52,,
the salvation army,52,,
napoleon bonaparte,52,,
sir walter raleigh,52,,
norman mailer,52,,
amber,52,,
ulysses grant,52,,
june,52,,
our town,52,,
east of eden,52,,
the north sea,52,,
golda meir,52,,
rocky,52,,
laura ingalls wilder,52,,
george gershwin,52,,
forrest gump,52,,
nathan hale,52,,
21,52,,
joshua,52,,
jack nicklaus,52,,
helen of troy,52,,
psalms,52,,
sunday,52,,
oliver cromwell,52,,
a dog,52,,
the magna carta,52,,
penicillin,52,,
economics,52,,
the sound of music,52,,
meryl streep,52,,
margaret mead,52,,
the hunchback of notre dame,52,,
george orwell,52,,
william butler yeats,52,,
the old man and the sea,52,,
benhur,52,,
judy garland,52,,
batman,51,,
adlai stevenson,51,,
neil armstrong,51,,
suriname,51,,
monet,51,,
john philip sousa,51,,
cabaret,51,,
wimbledon,51,,
custer,51,,
december,51,,
henry wadsworth longfellow,51,,
providence,51,,
concord,51,,
north dakota,51,,
james i,51,,
mariah carey,51,,
harry s truman,51,,
the great wall of china,51,,
geronimo,51,,
boeing,51,,
tom cruise,51,,
jackson,51,,
the himalayas,51,,
jericho,51,,
shirley temple,51,,
the pyrenees,51,,
annapolis,51,,
mae west,51,,
all in the family,51,,
cat on a hot tin roof,51,,
annie,51,,
roses,51,,
lawrence of arabia,51,,
hallmark,51,,
canterbury,51,,
the gulf of mexico,51,,
pearl harbor,51,,
tibet,51,,
queen,51,,
the sopranos,51,,
springfield,50,,
longfellow,50,,
roots,50,,
omaha,50,,
diamond,50,,
peanuts,50,,
constantine,50,,
the caspian sea,50,,
attila,50,,
alice walker,50,,
jeanpaul sartre,50,,
bananas,50,,
chlorophyll,50,,
the ear,50,,
scrabble,50,,
the eagles,50,,
cs lewis,50,,
lolita,50,,
oedipus,50,,
john mccain,50,,
bewitched,50,,
the mona lisa,50,,
betsy ross,50,,
rose,50,,
rebecca,50,,
maya angelou,50,,
liverpool,50,,
snow white,50,,
wall street,50,,
the tongue,50,,
grace kelly,50,,
piano,50,,
paradise lost,50,,
ice,49,,
sam houston,49,,
a comet,49,,
hammurabi,49,,
fort sumter,49,,
arnold schwarzenegger,49,,
gorbachev,49,,
ears,49,,
duke ellington,49,,
albuquerque,49,,
the rockies,49,,
goodyear,49,,
scott joplin,49,,
may,49,,
lady bird johnson,49,,
central park,49,,
amadeus,49,,
neon,49,,
tallahassee,49,,
kazakhstan,49,,
the hague,49,,
gullivers travels,49,,
goya,49,,
alfred lord tennyson,49,,
the volga,49,,
caviar,49,,
vinegar,49,,
kurt vonnegut,49,,
swan lake,49,,
samuel morse,49,,
adam smith,49,,
a bat,49,,
irving berlin,49,,
a,49,,
zero,49,,
el greco,49,,
rain,49,,
chicken,49,,
the phantom of the opera,49,,
chrysler,49,,
el salvador,49,,
henry clay,49,,
pasteur,49,,
stars,49,,
the nutcracker,49,,
samuel pepys,49,,
canberra,49,,
liver,49,,
a streetcar named desire,49,,
ham,48,,
isaac asimov,48,,
the berlin wall,48,,
joe louis,48,,
chaucer,48,,
tuna,48,,
chinese,48,,
14,48,,
zinc,48,,
bob dole,48,,
labor,48,,
pegasus,48,,
boss tweed,48,,
delta,48,,
plymouth,48,,
february,48,,
the washington post,48,,
wilt chamberlain,48,,
the vietnam war,48,,
tolstoy,48,,
fargo,48,,
the sun also rises,48,,
paraguay,48,,
the mekong,48,,
uganda,48,,
daniel defoe,48,,
orpheus,48,,
skiing,48,,
kiss,48,,
falstaff,48,,
constantinople,48,,
a camel,48,,
the library of congress,48,,
ibsen,48,,
hippocrates,48,,
isabella,48,,
prince charles,48,,
archimedes,48,,
stonewall jackson,48,,
bronze,48,,
ivory,48,,
george clooney,48,,
pearl buck,47,,
alan shepard,47,,
nelson rockefeller,47,,
ellis island,47,,
romeo,47,,
manitoba,47,,
ho chi minh,47,,
spartacus,47,,
jade,47,,
turquoise,47,,
potassium,47,,
orlando,47,,
yemen,47,,
john keats,47,,
michael crichton,47,,
jd salinger,47,,
the red cross,47,,
lake geneva,47,,
termites,47,,
the red badge of courage,47,,
paul bunyan,47,,
lake superior,47,,
edith wharton,47,,
tongue,47,,
duck,47,,
manila,47,,
somalia,47,,
steel,47,,
bhutan,47,,
saddam hussein,47,,
lost,47,,
star trek,47,,
muhammad,47,,
the hundred years war,47,,
an apple,47,,
honda,47,,
uruguay,47,,
maui,47,,
sally ride,47,,
agriculture,47,,
san marino,47,,
30,47,,
the lungs,47,,
calgary,47,,
hebrew,47,,
ian fleming,47,,
edgar rice burroughs,47,,
revelation,47,,
george sand,46,,
macedonia,46,,
da vinci,46,,
amazon,46,,
lady chatterleys lover,46,,
judaism,46,,
robert browning,46,,
andrew carnegie,46,,
tahiti,46,,
william penn,46,,
rwanda,46,,
dwight d eisenhower,46,,
dartmouth,46,,
alice in wonderland,46,,
jackie robinson,46,,
marconi,46,,
jane seymour,46,,
nefertiti,46,,
prometheus,46,,
claudius,46,,
molasses,46,,
honshu,46,,
strom thurmond,46,,
the who,46,,
ophelia,46,,
james monroe,46,,
lbj,46,,
alex haley,46,,
betty ford,46,,
bridge,46,,
samuel taylor coleridge,46,,
franklin delano roosevelt,46,,
a christmas carol,46,,
guys and dolls,46,,
stephen foster,46,,
cervantes,46,,
jacques cousteau,46,,
four,46,,
little rock,46,,
algae,46,,
chiang kaishek,46,,
harding,46,,
the bible,46,,
groucho marx,46,,
caffeine,46,,
joe dimaggio,46,,
tuberculosis,46,,
frida kahlo,46,,
glasgow,46,,
brutus,46,,
madame bovary,46,,
warren g harding,46,,
syria,46,,
prohibition,46,,
dogs,45,,
sudan,45,,
jesus,45,,
henry hudson,45,,
king arthur,45,,
orson welles,45,,
electrons,45,,
jimi hendrix,45,,
the matterhorn,45,,
jonathan swift,45,,
nickel,45,,
carl sagan,45,,
hartford,45,,
grenada,45,,
pineapple,45,,
rutherford b hayes,45,,
malaria,45,,
idi amin,45,,
mahatma gandhi,45,,
lake baikal,45,,
franklin pierce,45,,
the pentagon,45,,
aesop,45,,
prussia,45,,
eminem,45,,
wc fields,45,,
barbara bush,45,,
julia child,45,,
lindbergh,45,,
led zeppelin,45,,
mathew brady,45,,
sarajevo,45,,
james dean,45,,
apollo 13,45,,
sodium,45,,
luther burbank,45,,
euclid,45,,
carrie nation,45,,
the glass menagerie,45,,
tunisia,45,,
les misérables,45,,
tom hanks,45,,
a snake,45,,
tina turner,45,,
khrushchev,45,,
the bay of bengal,45,,
savannah,45,,
the west wing,45,,
the beach boys,45,,
plasma,45,,
the wall street journal,44,,
miss america,44,,
m,44,,
a star,44,,
jane fonda,44,,
claude monet,44,,
billy graham,44,,
augusta,44,,
marlon brando,44,,
burger king,44,,
janet jackson,44,,
machiavelli,44,,
lace,44,,
henry v,44,,
fat,44,,
the washington monument,44,,
jesse jackson,44,,
united states,44,,
chlorine,44,,
ptolemy,44,,
september,44,,
louis armstrong,44,,
a giraffe,44,,
andromeda,44,,
cinnamon,44,,
wolf,44,,
the spanishamerican war,44,,
wind,44,,
ucla,44,,
minneapolis,44,,
dred scott,44,,
the boer war,44,,
atlas,44,,
the roman empire,44,,
eddie murphy,44,,
the jungle book,44,,
malaysia,44,,
20,44,,
roger williams,44,,
robin williams,44,,
mary baker eddy,44,,
hamilton,44,,
johns hopkins,44,,
lady macbeth,44,,
the holy roman empire,44,,
polio,44,,
cholesterol,44,,
judas,44,,
fred astaire,44,,
lazarus,44,,
bacon,44,,
steven spielberg,44,,
northern ireland,44,,
black beauty,44,,
gilbert sullivan,44,,
loki,44,,
libra,44,,
kansas city,44,,
alexander calder,44,,
woodstock,44,,
the colorado,44,,
lady gaga,44,,
the new york times,43,,
nebuchadnezzar,43,,
reykjavik,43,,
faust,43,,
the equator,43,,
rubber,43,,
monticello,43,,
stephen douglas,43,,
ansel adams,43,,
volleyball,43,,
mont blanc,43,,
taco bell,43,,
16,43,,
cherries,43,,
ethan allen,43,,
citizen kane,43,,
el cid,43,,
the time machine,43,,
langston hughes,43,,
vulcan,43,,
john updike,43,,
bette midler,43,,
benazir bhutto,43,,
john tyler,43,,
truffles,43,,
jane goodall,43,,
the atlas mountains,43,,
yuri gagarin,43,,
corsica,43,,
brunei,43,,
crime and punishment,43,,
a bird,43,,
babe,43,,
taurus,43,,
kennedy,43,,
noah webster,43,,
o,43,,
buffy the vampire slayer,43,,
paper,43,,
evita,43,,
the graduate,43,,
jazz,43,,
sesame street,43,,
lamb,43,,
pikes peak,43,,
britney spears,43,,
harrison ford,43,,
dashiell hammett,43,,
the aztecs,43,,
king,43,,
dance,43,,
a chorus line,43,,
the new yorker,43,,
the louisiana purchase,43,,
the crusades,43,,
lady jane grey,43,,
laos,43,,
cape town,43,,
diabetes,43,,
my fair lady,43,,
kublai khan,43,,
miami vice,42,,
audubon,42,,
love story,42,,
et,42,,
the maine,42,,
jim thorpe,42,,
fort mchenry,42,,
augustus,42,,
francis scott key,42,,
calcutta,42,,
cupid,42,,
a clockwork orange,42,,
electricity,42,,
raphael,42,,
caracas,42,,
dover,42,,
bill cosby,42,,
zurich,42,,
as you like it,42,,
one,42,,
the pony express,42,,
joseph heller,42,,
united nations,42,,
george w bush,42,,
swimming,42,,
rip van winkle,42,,
john d rockefeller,42,,
julia roberts,42,,
swahili,42,,
snow,42,,
pygmalion,42,,
henry kissinger,42,,
the mary tyler moore show,42,,
coral,42,,
im pei,42,,
diego rivera,42,,
the exorcist,42,,
john dillinger,42,,
somerset maugham,42,,
beirut,42,,
national geographic,42,,
mary magdalene,42,,
