show #,airdate,round,category,value,question,answer
4684,2005-01-06,Jeopardy,NOW THAT'S INVENTIVE!,1000,"In the late 19th century, Ellen Eglui invented this washing machine attachment that saved a lot of drying time",a wringer
4684,2005-01-06,Jeopardy,TRUCKIN',1000,Take this company's Titan to a new frontier,Nissan
4684,2005-01-06,Jeopardy,EDIBLE RHYME TIME,1000,"A Scottish cap made from Hormel's ""spiced ham""",a Spam tam
4684,2005-01-06,Double Jeopardy,FOREWORDS,400,"Penguin Classics' introduction to this novel says, ""Emily... developed a passionate love of the rough Moorland scenery""",Wuthering Heights
4684,2005-01-06,Double Jeopardy,CROSSWORDS,400,"""Oliver on 'Still the Beaver'"" & ""Sherman Hemsley series"" have been clues in this publication's weekly puzzle",TV Guide
4684,2005-01-06,Double Jeopardy,JEOPARDY! KEYWORDS,400,"This city was home to our favorite ""German-American physicist"" for the last 20 years of his life",Princeton
4684,2005-01-06,Double Jeopardy,HOUSEHOLD WORDS,400,"To mix drinks in the comfort of your living room, it's handy to have this counter with a sink and running water",a wet bar
4684,2005-01-06,Double Jeopardy,EDWARDS,400,"Edward James Olmos was Lt. Castillo, the laconic boss of Crockett & Tubbs, on this Florida cop show",Miami Vice
4684,2005-01-06,Double Jeopardy,"""F"" WORDS",400,"It rises 12,837 feet above central Honshu Island",Mount Fuji
4684,2005-01-06,Double Jeopardy,FOREWORDS,800,"Kurt Vonnegut's opening remarks on this author say, ""His schoolbooks were steamboats and mining camps""",Mark Twain
4684,2005-01-06,Double Jeopardy,CROSSWORDS,800,"You'll find the crossword in the ""Life"" section of this, ""The Nation's Newspaper""",USA Today
4684,2005-01-06,Double Jeopardy,JEOPARDY! KEYWORDS,800,"The daughter of a ""Spanish Cubist"", she designs jewelry & fashion accessories",Paloma Picasso
4684,2005-01-06,Double Jeopardy,HOUSEHOLD WORDS,800,This bed that folds into a closet when not in use is named for its inventor,a Murphy bed
4684,2005-01-06,Double Jeopardy,EDWARDS,800,"This actor skyrocketed to fame playing an altar boy accused of killing a priest in ""Primal Fear""",Edward Norton
4684,2005-01-06,Double Jeopardy,"""F"" WORDS",800,"In the novel's original full title, Tom Jones is described as this, meaning an abandoned infant",foundling
4684,2005-01-06,Double Jeopardy,FOREWORDS,1200,"""According to"" this author, ""The Delawares themselves acknowledge the royalty of the Mohicans""",James Fenimore Cooper
4684,2005-01-06,Double Jeopardy,CROSSWORDS,1200,"2004 puzzle themes in this daily paper included ""Financial Trouble"" & ""Buy, Buy, Baby""",The Wall Street Journal
4684,2005-01-06,Double Jeopardy,JEOPARDY! KEYWORDS,1200,"The ""Magyar capital"" is divided by this major river",the Danube
4684,2005-01-06,Double Jeopardy,HOUSEHOLD WORDS,1200,"7-letter term for the short drapery hung across the top of a window, often used to hide structural fixtures",a valance
4684,2005-01-06,Double Jeopardy,EDWARDS,1200,He's lent a patrician air to dozens of movies and TV shows,Edward Herrman
4684,2005-01-06,Double Jeopardy,"""F"" WORDS",1200,In 1992 this person was elected to replace California's interim senator John Seymour,Dianne Feinstein
4684,2005-01-06,Double Jeopardy,FOREWORDS,1600,"Its foreword says the ""singularly lackluster"" Marius is ""supposedly a portrait of the youthful Victor Hugo himself",Les Miserables
4684,2005-01-06,Double Jeopardy,CROSSWORDS,1600,"Will Shortz, this newspaper's crossword editor, presents puzzles on NPR's ""Weekend Edition""",The New York Times
4684,2005-01-06,Double Jeopardy,JEOPARDY! KEYWORDS,1600,"Girlfriend of the ""Polish-French composer"", she penned the novel ""La Mare au Diable""",George Sand
4684,2005-01-06,Double Jeopardy,HOUSEHOLD WORDS,1600,The name of this large wardrobe with doors & shelves partly comes from the Latin for weapons,an armoire
4684,2005-01-06,Double Jeopardy,EDWARDS,1600,[BLANK],[BLANK]
4684,2005-01-06,Double Jeopardy,"""F"" WORDS",1600,"He served as a midshipman in the U.S. Navy at age 9; that ""Damn the torpedoes"" quote came 55 years later",Farragut
4684,2005-01-06,Double Jeopardy,FOREWORDS,2000,"""Tess's tragedy is deeper and more far-reaching than"" this author's ""bare philosophizing about it""",(Thomas) Hardy
4684,2005-01-06,Double Jeopardy,CROSSWORDS,2000,"A decade after crosswords were invented, this company with an alliterative name published the 1st book of them",Simon & Schuster
4684,2005-01-06,Double Jeopardy,JEOPARDY! KEYWORDS,2000,"The partner in crime of ""Jeopardy!""'s No. 1 ""American traitor"", this Brit was hanged in 1780",Major John André
4684,2005-01-06,Double Jeopardy,HOUSEHOLD WORDS,2000,It can be an overcoat or a large overstuffed sofa with upholstered arms,a chesterfield
4684,2005-01-06,Double Jeopardy,EDWARDS,2000,[BLANK],[BLANK]
4684,2005-01-06,Double Jeopardy,"""F"" WORDS",2000,"The name of this small flute comes from the Latin for ""peep""",fife
4684,2005-01-06,Final Jeopardy,EUROPE,Final,"After being subdued by the Franks in the 700s, this people formed a kingdom at Pamplona in the 800s",the Basques
737,1987-11-17,Jeopardy,GEOGRAPHY,100,"Besides North America, it's the only continent completely north of the equator",Europe
737,1987-11-17,Jeopardy,BUSINESS & INDUSTRY,100,"In August of 1987, Joan Kroc, widow of the founder of this company, donated a million dollars to the Democratic Party",McDonald's
737,1987-11-17,Jeopardy,BASEBALL,100,"Under the 1879-80 rules, it took nine balls for this to happen",a base on balls
737,1987-11-17,Jeopardy,WORD ORIGINS,100,"It used to mean sweetheart, but now refers to that big fifth grader who picked on you",bully
737,1987-11-17,Jeopardy,COWBOYS & CATTLEMEN,100,Famed Texas cattle breed that was brought over by the Spanish explorers,Longhorn
737,1987-11-17,Jeopardy,LEGENDARY SINGERS,100,"This Neapolitan made his Metropolitan Opera debut on November 23, 1903 in ""Rigoletto""",Enrico Caruso
737,1987-11-17,Jeopardy,GEOGRAPHY,200,North Yemen and South Yemen are both found on this Mideast peninsula,the Arabian Peninsula
737,1987-11-17,Jeopardy,BUSINESS & INDUSTRY,200,"To compete with electronic watches, SMH created this inexpensive Swiss watch",Swatch
737,1987-11-17,Jeopardy,BASEBALL,200,Last name of two brothers who earned all four St. Louis Cardinals wins in the 1934 World Series,(Dizzy & Paul) Dean
737,1987-11-17,Jeopardy,WORD ORIGINS,200,"The word manage goes back to the Latin ""manus"", the word for this part of the body",hand
737,1987-11-17,Jeopardy,COWBOYS & CATTLEMEN,200,"Because Sam Maverick didn't do this to his cattle, he lost them to rustlers",branding
737,1987-11-17,Jeopardy,LEGENDARY SINGERS,200,"Though born in Canada, Bob Nolan co-founded this quintessentially American Western group in the 1930s",Sons of the Pioneers
737,1987-11-17,Jeopardy,GEOGRAPHY,300,"In the mid 1960s, France began building a space center near Kouru in this, its South American territory",French Guiana
737,1987-11-17,Jeopardy,BUSINESS & INDUSTRY,300,Texas-raised Angora goats provide almost 95% of the US production of this Angora fiber,mohair
737,1987-11-17,Jeopardy,BASEBALL,300,"Minnie Minoso, the major leaguer who played in the most different decades, played in this many",5
737,1987-11-17,Jeopardy,WORD ORIGINS,300,This word for pal is said to be Oxford University slang for chamberfellow; a roommate,chum
737,1987-11-17,Jeopardy,COWBOYS & CATTLEMEN,300,Cattleman's term for gathering the herd,round-up
737,1987-11-17,Jeopardy,LEGENDARY SINGERS,300,"Edward Albee wrote a tragic play about this ""Empress of the Blues""",Bessie Smith
737,1987-11-17,Jeopardy,GEOGRAPHY,400,This Yugoslavian republic covers part of and shares its name with Alexander the Great's ancient home,Macedonia
737,1987-11-17,Jeopardy,BUSINESS & INDUSTRY,400,"In April 1987, Avia was bought by this major competitor",Reebok
737,1987-11-17,Jeopardy,BASEBALL,400,His batting average was .320 or higher for 23 major league seasons in a row,Ty Cobb
737,1987-11-17,Jeopardy,WORD ORIGINS,400,This word for boss or head is from a Japanese word meaning squad leader,honcho
737,1987-11-17,Jeopardy,COWBOYS & CATTLEMEN,400,"Called 2nd-in-command to the trail boss, he'd take his wagon ahead to be ready when the hands arrived",the cook
737,1987-11-17,Jeopardy,LEGENDARY SINGERS,400,Her affair with a world middleweight boxing champion reportedly led her to write the following:,Edith Piaf
737,1987-11-17,Jeopardy,GEOGRAPHY,500,Most of the 60 to 70 people who live on this South Pacific island are descendants of the mutineers,Pitcairn Island
737,1987-11-17,Jeopardy,BUSINESS & INDUSTRY,500,The Chicago Board of Trade is the world's largest of these,futures (or commodities) exchange
737,1987-11-17,Jeopardy,BASEBALL,500,All baseballs used in the major leagues have the name of this foreign country printed on them,Haiti
737,1987-11-17,Jeopardy,WORD ORIGINS,500,"From Old English ""nay"", no, and ""whit"", thing, this word means zero",naught
737,1987-11-17,Jeopardy,COWBOYS & CATTLEMEN,500,Texas trail named in honor of a Scottish Cherokee trader whose tracks were followed,the Chisholm Trail
737,1987-11-17,Jeopardy,LEGENDARY SINGERS,500,"This Swedish phenomenon married her accompianist, Otto Goldschmidt, in 1852",Jenny Lind
737,1987-11-17,Double Jeopardy,POLITICS,200,Only 6% of the Soviet people are members of this party; the rest try to have a good time anyway,Communist Party
737,1987-11-17,Double Jeopardy,WARS,200,"During a revolt, the Dutch opened these, allowing their navy to rescue a city besieged by Spain",the dikes
737,1987-11-17,Double Jeopardy,LETTER PERFECT,200,"If your body temperature is 98.6 degrees, this letter had better be following it",F (for Fahrenheit)
737,1987-11-17,Double Jeopardy,THE 1980s,200,"Suffering from a little overexposure, Vanessa Williams resigned as this in July, 1984",Miss America
737,1987-11-17,Double Jeopardy,ASTRONOMY,200,He discovered the four largest moons of Jupiter in 1610,Galileo
737,1987-11-17,Double Jeopardy,SHAKESPEAREAN LAST LINES,200,"""'Tis a wonder, by your leave she will be tamed so.""",The Taming of the Shrew
737,1987-11-17,Double Jeopardy,POLITICS,400,Earliest date in the year on which a US Presidential election can fall,November 2
737,1987-11-17,Double Jeopardy,WARS,400,Foreign war in which the First United States Volunteer Cavalry gained its fame,Spanish-American War
737,1987-11-17,Double Jeopardy,LETTER PERFECT,400,Abbreviation for the standard metric unit closest to a quart,L (for liter)
737,1987-11-17,Double Jeopardy,THE 1980s,400,"July, 1986 ""USA Today"" headline, ""Sea Creatures Ate Staircase"" referred to this",the Titanic
737,1987-11-17,Double Jeopardy,ASTRONOMY,400,It's thought Egyptians used this Big Dipper constellation to set compass bearings of the pyramids,Ursa Major
737,1987-11-17,Double Jeopardy,SHAKESPEAREAN LAST LINES,400,"""Give me your hands if we be friends, and Robin shall restore amends""",A Midsummer Night's Dream
737,1987-11-17,Double Jeopardy,POLITICS,600,"Founded in London in 1883, Britain's Fabian Society seeks to promote this, not rock-and-roll",socialism
737,1987-11-17,Double Jeopardy,WARS,600,"Famed for the Charge of the Light Brigade, it was one of the first wars to be reported widely by the press",the Crimean War
737,1987-11-17,Double Jeopardy,LETTER PERFECT,600,"In chess notation, this single letter stands for the knight",N
737,1987-11-17,Double Jeopardy,THE 1980s,600,"In October of 1985, this Italian cruise ship was hijacked by Palestinian terrorists",Achille Lauro
737,1987-11-17,Double Jeopardy,ASTRONOMY,600,This giant moon of Saturn is larger than the planet Mercury,Titan
737,1987-11-17,Double Jeopardy,SHAKESPEAREAN LAST LINES,600,"""Sir John, to Master Brook you yet shall hold your word, for he tonight shall lie with Mistress Ford""",The Merry Wives of Windsor
737,1987-11-17,Double Jeopardy,POLITICS,800,Ernest Gruening and Wayne Morris lost re-election after being the only senators to vote against this 1964 resolution,the Gulf of Tonkin Resolution
737,1987-11-17,Double Jeopardy,WARS,800,"The German bulge, in WW2's battle of the same name, was in this forest",Ardennes
737,1987-11-17,Double Jeopardy,LETTER PERFECT,800,"Fashion newspaper whose readers' median income is the highest in the US at $111,000",W (formerly Women's Wear Daily)
737,1987-11-17,Double Jeopardy,THE 1980s,800,"""I am a nervous wreck"", said this ousted leader on route from an Alps resort to the Riviera",Jean-Claude Duvalier
737,1987-11-17,Double Jeopardy,ASTRONOMY,800,"The name of this star in Orion is from the Arabic for ""the giant's armpit""",Betelgeuse
737,1987-11-17,Double Jeopardy,SHAKESPEAREAN LAST LINES,800,"""And then to Rome--Come, Dolabella, see high order in this great solemnity""",Antony and Cleopatra
737,1987-11-17,Double Jeopardy,POLITICS,1000,"In 1986, Salvador Laurel, already vice-president, was also appointed foreign minister & prime minister of this country",the Philippines
737,1987-11-17,Double Jeopardy,WARS,1000,"This country's 1745 Jacobite rebellion was led by Charles Edward, the ""Young Pretender""",Scotland
737,1987-11-17,Double Jeopardy,LETTER PERFECT,1000,"Renamed twice since 1966, it was the original MPAA movie rating between G and R",M
737,1987-11-17,Double Jeopardy,THE 1980s,1000,US journalist arrested in Moscow shortly after the FBI's 1986 arrest of Soviet physicist Zakharov,Nicholas Daniloff
737,1987-11-17,Double Jeopardy,ASTRONOMY,1000,18th century Frenchman whose catalogue of fuzzy objects given M-numbers is still used today,Charles Messier
737,1987-11-17,Double Jeopardy,SHAKESPEAREAN LAST LINES,1000,"""We came into the world like brother and brother, and now let's go hand-in-hand, not one before another""",A Comedy of Errors
737,1987-11-17,Final Jeopardy,STATE CAPITALS,Final,"Of the 4 U.S. state capitals named after presidents, this is farthest north and east","Madison, Wisconsin"
4685,2005-01-07,Jeopardy,ODD AMERICAN HISTORY,200,In 1833 this 35-inch-tall millionaire wed the 32-inch-tall Lavinia Warren (P.T. had his hand in it...),Tom Thumb
4685,2005-01-07,Jeopardy,THE 1970s MUSIC SCENE,200,"The 1972 film ""Fillmore"" chronicled the closing of promoter Bill Graham's Fillmore West in this city",San Francisco
4685,2005-01-07,Jeopardy,THERE'S A PLACE FOR US,200,It's a place for unknown bands to rehearse or a place to store a car,a garage
4685,2005-01-07,Jeopardy,CITY SEALS,200,"Dallas, Texas has this ""Lone"" item on its seal",a star
4685,2005-01-07,Jeopardy,III,200,"This president's father was William Jefferson Blythe III, but he took office as President under this name",Clinton
4685,2005-01-07,Jeopardy,MISSING LINKS,200,Any port in a ____ door,storm
4685,2005-01-07,Jeopardy,ODD AMERICAN HISTORY,400,"Way before Ford, an assembly line was set up in Cincinnati in the 1800s to disassemble these animals",pigs
4685,2005-01-07,Jeopardy,THE 1970s MUSIC SCENE,400,In 1974 Paul McCartney formed a new version of this group with drummer Geoff Britton & guitarist Jimmy McCulloch,Wings
4685,2005-01-07,Jeopardy,THERE'S A PLACE FOR US,400,"It's a small booth for a farmer's market merchant, or a place to store your horse",a stall
4685,2005-01-07,Jeopardy,CITY SEALS,400,"This state capital's seal shows the phoenix rising from the ashes, symbolic of its rebuilding after the Civil War",Atlanta
4685,2005-01-07,Jeopardy,III,400,"Ruling Muscovy from 1462 to 1505, he was ""The Great""; it was the IV who was the terrible one",Ivan (III)
4685,2005-01-07,Jeopardy,MISSING LINKS,400,Some like it ____ plate,hot
4685,2005-01-07,Jeopardy,ODD AMERICAN HISTORY,600,In 1801 this American boat designer tried to sell his submarine to Napoleon,Fulton
4685,2005-01-07,Jeopardy,THE 1970s MUSIC SCENE,600,"In 1976 this Mothers of Invention leader produced Grand Funk's LP ""Good Singin', Good Playin'""",Frank Zappa
4685,2005-01-07,Jeopardy,THERE'S A PLACE FOR US,600,"These may be small, but they are beach front property, and a place to change your suits",a cabana
4685,2005-01-07,Jeopardy,CITY SEALS,600,The seal of the Steel City features the coat of arms of this first Earl of Chatham,(William) Pitt (the elder)
4685,2005-01-07,Jeopardy,III,600,This rich guy was the first president of Lincoln Center,John D. Rockefeller III
4685,2005-01-07,Jeopardy,MISSING LINKS,600,Casting ____ of the wild,call
4685,2005-01-07,Jeopardy,ODD AMERICAN HISTORY,800,"Dexter Pratt, a neighbor of Longfellow, had this job (& presumably, sinewy hands)",blacksmith
4685,2005-01-07,Jeopardy,THE 1970s MUSIC SCENE,800,"He sang ""Someone Saved My Life Tonight"" about a suicide he attempted when engaged to an onion heiress",Elton John
4685,2005-01-07,Jeopardy,THERE'S A PLACE FOR US,800,"Soldiers on an army base bunk in these, from the Spanish for ""hut""",barracks
4685,2005-01-07,Jeopardy,CITY SEALS,800,A depiction of our seventh president adorns this Florida city's seal,Jacksonville
4685,2005-01-07,Jeopardy,III,800,"The first Hanoverian king born in England, he ruled for 60 years, from 1760 to 1820",George III
4685,2005-01-07,Jeopardy,MISSING LINKS,800,Soda ____ chicken,jerk
4685,2005-01-07,Jeopardy,ODD AMERICAN HISTORY,1000,"Declaring bankruptcy to get out of jail in 1819, he now had time to smell the roses & draw the birds",Audubon
4685,2005-01-07,Jeopardy,THE 1970s MUSIC SCENE,1000,"In 1977 he was ""Slip Slidin' Away"" into acting, making his debut as Tony Lacey in Woody Allen's ""Annie Hall""",Paul Simon
4685,2005-01-07,Jeopardy,THERE'S A PLACE FOR US,1000,"""There is"" one of these ""in the town, in the town, and there my dear love sits him down, sits him down""",a tavern
4685,2005-01-07,Jeopardy,CITY SEALS,1000,"California's second-largest city, its seal depicts the Pillars of Hercules to recall its days under Spanish rule",San Diego
4685,2005-01-07,Jeopardy,III,1000,In 1948 Marshall Field III merged II Chicago papers into this I,the Sun-Times
4685,2005-01-07,Jeopardy,MISSING LINKS,1000,Tale of the ____ recorder,tape
4685,2005-01-07,Double Jeopardy,MEDICAL CENTER,400,Synonyms for this type of medical examination include postmortem and necropsy,an autopsy
4685,2005-01-07,Double Jeopardy,YESTERDAY'S HOTTIES,400,This lovely's look was all the rage on college campuses in the 1940s,Veronica Lake
4685,2005-01-07,Double Jeopardy,THE APPRENTICE,400,"In ""A Christmas Carol"", we learn this man once apprenticed with the jolly merchant Mr. Fezziwig",Ebenezer Scrooge
4685,2005-01-07,Double Jeopardy,SHORTENED FIRST NAMES,400,Athlete/actor Rosey Grier,Roosevelt
4685,2005-01-07,Double Jeopardy,ANTARCTIC EXPLORATION,400,"For his flight over the South Pole on November 29, 1929, he was elevated to Rear Admiral by Congress",Richard Byrd
4685,2005-01-07,Double Jeopardy,THEATRE TALK,400,"If you want a performer to sing once more, shout this French word that has come to mean ""again!""",encore
4685,2005-01-07,Double Jeopardy,MEDICAL CENTER,800,The city of Rochester in this state is home to the world-famous Mayo clinic,Minnesota
4685,2005-01-07,Double Jeopardy,YESTERDAY'S HOTTIES,800,"This actress who played opposite Victor Mature in ""Samson and Delilah"" invented the technology used in cell phones",Hedy Lamarr
4685,2005-01-07,Double Jeopardy,THE APPRENTICE,800,In 1488 this Renaissance artist was apprenticed to the painter Domenico Ghirlandaio in Florence,Michelangelo
4685,2005-01-07,Double Jeopardy,SHORTENED FIRST NAMES,800,Orlando's own Mandy Moore,Amanda
4685,2005-01-07,Double Jeopardy,ANTARCTIC EXPLORATION,800,This British explorer for whom an ice shelf & sea are named also discovered Mount Erebus,(James Clarke) Ross
4685,2005-01-07,Double Jeopardy,THEATRE TALK,800,"(Sarah of the Clue Crew stands amidst a theater's seats.)  It's the part of the theatre where the audience sits, & if an actor gets sick, you might be asked if there's a doctor in it",the house
4685,2005-01-07,Double Jeopardy,MEDICAL CENTER,1200,"(Jimmy of the Clue Crew demonstrates a medical device.)  Nonprofessionals can learn to use an automated external one of these heart devicesComputer voice: ""Place the electrodes on patient's bare chest""",a defibrillator
4685,2005-01-07,Double Jeopardy,YESTERDAY'S HOTTIES,1200,Some child mannequins of the 1920s were designed to look like this sweetheart of an actress,Mary Pickford
4685,2005-01-07,Double Jeopardy,THE APPRENTICE,1200,"(Hi, I'm Bill Rancic of The Apprentice.)  When you hear the word apprentice, you may think of this character played by a rodent in a 1940 film",the Sorcerer's Apprentice
4685,2005-01-07,Double Jeopardy,SHORTENED FIRST NAMES,1200,Journalist Drew Pearson,Andrew
4685,2005-01-07,Double Jeopardy,ANTARCTIC EXPLORATION,1200,"Fabian von Bellingshausen, sailing for this nation, discovered & named Peter I & Alexander I Islands",Russia
4685,2005-01-07,Double Jeopardy,THEATRE TALK,1200,"Sometimes called a ""Picture Frame"" stage, this kind of stage has its own special arch",a proscenium
4685,2005-01-07,Double Jeopardy,MEDICAL CENTER,1600,3 types of steroid hormones are produced by these glands that sit atop the kidneys,the adrenal glands
4685,2005-01-07,Double Jeopardy,YESTERDAY'S HOTTIES,1600,This groundbreaking actress was played by Halle Berry in an acclaimed TV biopic,Dorothy Dandridge
4685,2005-01-07,Double Jeopardy,THE APPRENTICE,1600,This popular 1972 novel covers James Herriot's period as an apprentice to an eccentric veterinarian,All Creatures Great and Small
4685,2005-01-07,Double Jeopardy,SHORTENED FIRST NAMES,1600,Stooge Moe Howard,Moses
4685,2005-01-07,Double Jeopardy,ANTARCTIC EXPLORATION,1600,"Roald Amundsen reached the South Pole on December 14, 1911; he then left a note for this man",(Capt. Robert) Scott
4685,2005-01-07,Double Jeopardy,THEATRE TALK,1600,An actor changes costumes with a little help from this person whose job title is also the name of a piece of furniture,a dresser
4685,2005-01-07,Double Jeopardy,MEDICAL CENTER,2000,"From a root meaning ""joint"", it's a type of scope used to view the interior of a joint, such as the knee",an arthroscope
4685,2005-01-07,Double Jeopardy,YESTERDAY'S HOTTIES,2000,"The alluring star of a number of classic films, this Kansas native was equally famous for her haircut",Louise Brooks
4685,2005-01-07,Double Jeopardy,THE APPRENTICE,2000,This French artist was an apprentice to a house painter years before co-founding Cubism with Picasso,Georges Braque
4685,2005-01-07,Double Jeopardy,SHORTENED FIRST NAMES,2000,Senator Kit Bond,Christopher
4685,2005-01-07,Double Jeopardy,ANTARCTIC EXPLORATION,2000,"In 1915 his ship, Endurance, became trapped in ice & drifted for 10 months before being crushed",Ernest Shackleton
4685,2005-01-07,Double Jeopardy,THEATRE TALK,2000,"This kind of backdrop that often represents the sky is known as a ""cyc"" for short",a cyclorama
4685,2005-01-07,Final Jeopardy,MAGAZINES,Final,"Founded in 1821, it was named for its delivery time, the last mail delivery of the day",The Saturday Evening Post
4686,2005-01-10,Jeopardy,PRESIDENTIAL LIBRARIES,200,"The Library of the first President Bush, in Texas, has a film of his first steps, in this state where the family vacations",Maine
4686,2005-01-10,Jeopardy,FILMS OF THE '70s,200,"Not the frost, but the blood was on the punkin in this 1978 Jamie Lee Curtis film",Halloween
4686,2005-01-10,Jeopardy,SO NICE THEY NICKNAMED ME TWICE,200,"""The Chairman of the Board"", ""Ol' Blue Eyes""",Frank Sinatra
4686,2005-01-10,Jeopardy,BACK TO THE HOTEL,200,"In 1975, Lyn Weiner opened the Kennelworth, a hotel in New York City for these pets",dogs
4686,2005-01-10,Jeopardy,THE WEATHER CHANNEL,200,"When it's muggy, ""it's not the heat, it's"" this, the amount of water vapor in the atmosphere",humidity
4686,2005-01-10,Jeopardy,THE BIRD IS THE WORD,200,"What's good for the goose is good for this, also meaning a glance",the gander
4686,2005-01-10,Jeopardy,PRESIDENTIAL LIBRARIES,400,"The war exhibit ""Korea Plus 50: No Longer Forgotten"" is a joint-access project between the libraries of these 2 presidents",Truman and Eisenhower
4686,2005-01-10,Jeopardy,FILMS OF THE '70s,400,"(Hi.  I'm Bob Woodward.)  In ""All the President's Men"", Carl Bernstein was played by Dustin Hoffman & I was portrayed by this handsome star who bears no resemblence to me",Robert Redford
4686,2005-01-10,Jeopardy,SO NICE THEY NICKNAMED ME TWICE,400,"""America's Sweetheart"", ""Little Sure Shot""",Annie Oakley
4686,2005-01-10,Jeopardy,BACK TO THE HOTEL,400,The Celtic Lodge and Kelly's Hotel are famous hotels in this world capital,Dublin
4686,2005-01-10,Jeopardy,THE WEATHER CHANNEL,400,Each second about 100 of these natural electrical discharges occur somewhere on Earth,lightning strikes
4686,2005-01-10,Jeopardy,THE BIRD IS THE WORD,400,"That this bird leaves its eggs in other birds' nests, that's just ""crazy"", man",the cuckoo
4686,2005-01-10,Jeopardy,PRESIDENTIAL LIBRARIES,600,The Ford Library is on the campus of this Ford alma mater,the University of Michigan
4686,2005-01-10,Jeopardy,FILMS OF THE '70s,600,A canoe trip into the Georgia backwoods became a living nightmare for four friends in this 1972 film,Deliverance
4686,2005-01-10,Jeopardy,SO NICE THEY NICKNAMED ME TWICE,600,"""Conqueror of the World"", ""Macedonia's Madman""",Alexander the Great
4686,2005-01-10,Jeopardy,BACK TO THE HOTEL,600,This large ocean liner that's been docked in Long Beach since 1967 is a hotel & tourist attraction,Queen Mary
